,Datetime,tikr,open,high,low,close,volume,emalow,emahigh,ematrend,edgeHigh,edgeLow,new_date,new_time,current_runn,trigger_start,open_position,start_price,end_price,pnl,risk,reward
0,2021-04-29 09:15:00+05:30,HDFCBANK.NS,1488.85,1488.85,1485.1,1487.35,0,1485.1,1488.85,no,0.0,0.0,2021-04-29,09:15:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-29 09:16:00+05:30,HDFCBANK.NS,1487.9,1489.5,1486.75,1489.0,92463,1485.92,1488.88,no,0.0,0.0,2021-04-29,09:16:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-04-29 09:17:00+05:30,HDFCBANK.NS,1489.0,1489.9,1488.8,1489.9,72524,1486.88,1488.92,no,0.0,0.0,2021-04-29,09:17:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-04-29 09:18:00+05:30,HDFCBANK.NS,1489.8,1490.95,1488.3,1489.0,106486,1487.24,1489.0,no,0.0,0.0,2021-04-29,09:18:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-04-29 09:19:00+05:30,HDFCBANK.NS,1489.7,1493.0,1489.05,1492.8,77315,1487.6,1489.15,no,0.0,0.0,2021-04-29,09:19:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-04-29 09:20:00+05:30,HDFCBANK.NS,1493.0,1500.0,1492.25,1499.2,250196,1488.38,1489.58,no,0.0,0.0,2021-04-29,09:20:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-04-29 09:21:00+05:30,HDFCBANK.NS,1499.1,1500.8,1498.35,1500.2,95244,1489.8,1490.02,no,0.0,0.0,2021-04-29,09:21:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-04-29 09:22:00+05:30,HDFCBANK.NS,1500.45,1502.0,1500.0,1501.8,108459,1491.08,1490.49,no,0.0,0.0,2021-04-29,09:22:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-04-29 09:23:00+05:30,HDFCBANK.NS,1502.0,1503.65,1501.95,1502.6,89774,1492.28,1491.0,no,0.0,0.0,2021-04-29,09:23:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-04-29 09:24:00+05:30,HDFCBANK.NS,1502.75,1503.5,1502.15,1502.8,66757,1493.27,1491.49,no,0.0,0.0,2021-04-29,09:24:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-04-29 09:25:00+05:30,HDFCBANK.NS,1502.8,1502.8,1500.1,1502.1,79663,1493.89,1491.94,no,1503.65,1485.1,2021-04-29,09:25:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-04-29 09:26:00+05:30,HDFCBANK.NS,1502.0,1502.5,1501.35,1501.6,58982,1494.51,1492.35,no,1503.65,1486.75,2021-04-29,09:26:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-04-29 09:27:00+05:30,HDFCBANK.NS,1501.75,1502.0,1500.1,1500.25,52597,1494.94,1492.73,no,1503.65,1488.3,2021-04-29,09:27:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-04-29 09:28:00+05:30,HDFCBANK.NS,1500.7,1500.9,1499.0,1499.15,69619,1495.23,1493.05,no,1503.65,1488.3,2021-04-29,09:28:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-04-29 09:29:00+05:30,HDFCBANK.NS,1499.3,1499.75,1498.9,1499.55,71947,1495.48,1493.31,no,1503.65,1489.05,2021-04-29,09:29:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-04-29 09:30:00+05:30,HDFCBANK.NS,1499.55,1501.25,1499.5,1500.1,110511,1495.73,1493.62,no,1503.65,1492.25,2021-04-29,09:30:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-04-29 09:31:00+05:30,HDFCBANK.NS,1500.0,1500.6,1499.45,1499.85,70530,1495.95,1493.9,no,1503.65,1498.35,2021-04-29,09:31:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-04-29 09:32:00+05:30,HDFCBANK.NS,1499.75,1499.95,1498.8,1498.9,39828,1496.11,1494.14,no,1503.65,1498.9,2021-04-29,09:32:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-04-29 09:33:00+05:30,HDFCBANK.NS,1498.55,1499.9,1497.85,1499.7,62943,1496.2,1494.36,no,1503.65,1498.8,2021-04-29,09:33:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-04-29 09:34:00+05:30,HDFCBANK.NS,1499.7,1499.7,1497.95,1498.75,44750,1496.28,1494.57,no,1503.5,1497.85,2021-04-29,09:34:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-04-29 09:35:00+05:30,HDFCBANK.NS,1498.75,1499.0,1497.85,1498.0,50609,1496.36,1494.74,no,1502.8,1497.85,2021-04-29,09:35:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-04-29 09:36:00+05:30,HDFCBANK.NS,1497.9,1498.4,1497.8,1498.4,34211,1496.42,1494.89,no,1502.5,1497.85,2021-04-29,09:36:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-04-29 09:37:00+05:30,HDFCBANK.NS,1498.2,1498.5,1497.55,1497.95,34606,1496.47,1495.03,no,1502.0,1497.8,2021-04-29,09:37:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-04-29 09:38:00+05:30,HDFCBANK.NS,1497.95,1498.55,1497.5,1498.55,28697,1496.52,1495.17,no,1501.25,1497.55,2021-04-29,09:38:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-04-29 09:39:00+05:30,HDFCBANK.NS,1498.55,1499.0,1498.15,1498.5,19082,1496.58,1495.32,no,1501.25,1497.5,2021-04-29,09:39:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-04-29 09:40:00+05:30,HDFCBANK.NS,1498.15,1498.7,1498.0,1498.35,14630,1496.64,1495.45,no,1501.25,1497.5,2021-04-29,09:40:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-04-29 09:41:00+05:30,HDFCBANK.NS,1498.35,1498.5,1497.55,1497.95,24488,1496.67,1495.57,no,1500.6,1497.5,2021-04-29,09:41:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-04-29 09:42:00+05:30,HDFCBANK.NS,1497.95,1498.0,1494.55,1495.8,72705,1496.59,1495.67,no,1499.95,1497.5,2021-04-29,09:42:00,waiting,3.0,0.0,0.0,0.0,0.0,0.0,0.0
