Date,tikr,open,high,low,close,volume
2021-03-22,AARTIIND.NS,1264.8,1290.05,1240.0,1282.75,151246
2021-03-23,AARTIIND.NS,1281.0,1294.7,1266.0,1288.75,160221
2021-03-24,AARTIIND.NS,1289.5,1399.4,1288.0,1318.1,3097098
2021-03-25,AARTIIND.NS,1330.0,1360.0,1286.0,1315.6,1124256
2021-03-26,AARTIIND.NS,1328.65,1340.0,1295.05,1321.75,360493
2021-03-30,AARTIIND.NS,1350.0,1352.0,1321.35,1338.7,265566
2021-03-31,AARTIIND.NS,1340.0,1346.7,1310.1,1317.45,195416
2021-04-01,AARTIIND.NS,1330.0,1390.0,1315.0,1363.8,613919
2021-04-05,AARTIIND.NS,1363.65,1388.9,1325.25,1329.25,405142
2021-04-06,AARTIIND.NS,1337.0,1386.6,1328.5,1355.7,542255
2021-04-07,AARTIIND.NS,1364.75,1419.6,1343.4,1404.45,454587
2021-04-08,AARTIIND.NS,1420.0,1450.0,1408.65,1421.5,659066
2021-04-09,AARTIIND.NS,1424.8,1425.65,1398.0,1404.1,246474
2021-01-11,ACC.NS,1730.84,1785.47,1730.39,1773.61,1677994
2021-01-12,ACC.NS,1769.59,1800.36,1761.75,1781.6,1505259
2021-01-13,ACC.NS,1781.65,1798.08,1757.78,1778.92,922665
2021-01-14,ACC.NS,1776.54,1791.43,1759.67,1772.07,627682
2021-01-15,ACC.NS,1766.62,1772.47,1705.33,1727.02,1238841
2021-01-18,ACC.NS,1724.93,1733.22,1657.69,1688.71,965219
2021-01-19,ACC.NS,1690.79,1707.96,1677.29,1699.52,1062139
2021-01-20,ACC.NS,1701.11,1705.73,1675.31,1697.19,841615
2021-01-21,ACC.NS,1707.46,1713.67,1643.55,1653.23,1486010
2021-01-22,ACC.NS,1661.41,1696.1,1640.82,1682.11,1280708
2021-01-25,ACC.NS,1711.58,1712.67,1645.53,1650.64,905403
2021-01-27,ACC.NS,1645.24,1663.35,1611.99,1625.53,891651
2021-01-28,ACC.NS,1605.69,1626.58,1596.01,1620.82,584432
2021-01-29,ACC.NS,1632.63,1642.56,1581.42,1591.79,859756
2021-02-01,ACC.NS,1612.78,1684.19,1572.29,1672.78,952374
2021-02-02,ACC.NS,1687.22,1770.59,1678.34,1749.6,1697944
2021-02-03,ACC.NS,1756.69,1770.54,1706.87,1714.66,893327
2021-02-04,ACC.NS,1721.46,1748.16,1703.44,1735.8,952288
2021-02-05,ACC.NS,1741.8,1749.74,1702.1,1710.04,1089231
2021-02-08,ACC.NS,1722.95,1762.65,1714.01,1750.64,1247842
2021-02-09,ACC.NS,1758.53,1765.62,1740.07,1748.4,791259
2021-02-10,ACC.NS,1755.7,1788.9,1733.86,1748.5,1419214
2021-02-11,ACC.NS,1736.84,1776.54,1728.9,1762.6,1521543
2021-02-12,ACC.NS,1737.83,1799.96,1703.2,1752.47,3673122
2021-02-15,ACC.NS,1771.58,1784.48,1753.37,1774.61,911884
2021-02-16,ACC.NS,1777.53,1829.69,1771.53,1805.62,1937730
2021-02-17,ACC.NS,1806.32,1823.19,1793.41,1806.07,860949
2021-02-18,ACC.NS,1819.32,1824.28,1761.8,1774.46,634760
2021-02-19,ACC.NS,1786.47,1788.2,1722.45,1734.21,767848
2021-02-22,ACC.NS,1736.64,1741.7,1676.95,1687.57,533284
2021-02-23,ACC.NS,1702.01,1711.98,1673.37,1684.29,735863
2021-02-24,ACC.NS,1695.16,1731.88,1695.16,1717.64,481605
2021-02-25,ACC.NS,1728.9,1796.39,1717.09,1787.71,1114144
2021-02-26,ACC.NS,1766.62,1833.11,1699.13,1720.17,2973895
2021-03-01,ACC.NS,1741.21,1766.47,1712.72,1761.06,890744
2021-03-02,ACC.NS,1765.62,1799.32,1746.82,1758.48,824150
2021-03-03,ACC.NS,1770.59,1804.08,1759.87,1782.89,841356
2021-03-04,ACC.NS,1760.86,1849.89,1751.98,1839.76,1152626
2021-03-05,ACC.NS,1845.02,1879.76,1798.87,1810.73,2338230
2021-03-08,ACC.NS,1822.64,1839.46,1799.86,1809.09,757659
2021-03-09,ACC.NS,1816.24,1842.64,1781.6,1814.11,825196
2021-03-10,ACC.NS,1825.07,1830.13,1797.13,1821.25,645527
2021-03-12,ACC.NS,1830.04,1834.1,1768.6,1774.21,1032982
2021-03-15,ACC.NS,1778.53,1785.23,1728.01,1753.81,715924
2021-03-16,ACC.NS,1757.78,1776.29,1747.66,1752.87,530988
2021-03-17,ACC.NS,1752.82,1763.59,1708.61,1714.66,871784
2021-03-18,ACC.NS,1731.83,1735.85,1698.18,1718.73,933344
2021-03-19,ACC.NS,1708.85,1756.69,1679.28,1741.8,1091315
2021-03-22,ACC.NS,1746.77,1859.81,1738.03,1846.01,4627665
2021-03-23,ACC.NS,1845.96,1910.53,1825.77,1899.36,1921529
2021-03-24,ACC.NS,1894.65,1908.84,1873.8,1878.02,1293661
2021-03-25,ACC.NS,1894.65,1897.62,1827.85,1836.09,981995
2021-03-26,ACC.NS,1850.98,1873.8,1834.1,1847.95,572651
2021-03-30,ACC.NS,1864.0,1905.0,1858.15,1874.05,621135
2021-03-31,ACC.NS,1876.55,1920.6,1867.5,1903.25,672297
2021-04-01,ACC.NS,1920.0,1920.0,1886.95,1913.35,765296
2021-04-05,ACC.NS,1908.0,1937.0,1872.1,1894.4,1272161
2021-04-06,ACC.NS,1904.9,1922.7,1890.05,1908.45,965415
2021-04-07,ACC.NS,1919.5,1954.5,1901.9,1918.45,1643523
2021-04-08,ACC.NS,1925.0,2010.0,1924.0,1981.65,948277
2021-04-09,ACC.NS,1999.0,2022.85,1948.45,1960.75,1376841
2021-01-11,ADANIENT.NS,520.6,524.6,510.5,519.15,4148831
2021-01-12,ADANIENT.NS,519.0,536.6,517.1,525.4,4878024
2021-01-13,ADANIENT.NS,529.1,540.2,521.3,536.05,4948731
2021-01-14,ADANIENT.NS,534.95,541.0,528.4,532.1,3161306
2021-01-15,ADANIENT.NS,534.7,537.5,518.8,527.3,3376852
2021-01-18,ADANIENT.NS,528.0,529.1,502.05,507.85,5204588
2021-01-19,ADANIENT.NS,512.3,532.0,512.3,530.1,4181185
2021-01-20,ADANIENT.NS,532.15,552.15,531.0,546.75,6681731
2021-01-21,ADANIENT.NS,551.4,552.95,531.55,536.9,4208383
2021-01-22,ADANIENT.NS,534.05,546.75,521.6,526.8,4179558
2021-01-25,ADANIENT.NS,530.25,534.4,509.0,513.9,3728411
2021-01-27,ADANIENT.NS,513.1,521.55,507.05,512.8,2792007
2021-01-28,ADANIENT.NS,507.3,519.5,501.35,511.85,4197516
2021-01-29,ADANIENT.NS,515.2,525.2,502.5,506.65,3822560
2021-02-01,ADANIENT.NS,510.5,539.5,496.9,537.2,4004036
2021-02-02,ADANIENT.NS,542.05,566.9,540.8,564.2,5144708
2021-02-03,ADANIENT.NS,568.0,576.6,558.35,566.6,6087209
2021-02-04,ADANIENT.NS,561.95,611.7,556.0,589.7,11184167
2021-02-05,ADANIENT.NS,595.0,607.85,588.6,595.35,4754950
2021-02-08,ADANIENT.NS,605.4,638.0,603.55,628.3,7085276
2021-02-09,ADANIENT.NS,631.45,641.9,621.0,629.85,4510798
2021-02-10,ADANIENT.NS,633.05,654.9,622.1,650.7,5991927
2021-02-11,ADANIENT.NS,654.0,661.0,645.35,658.6,3688016
2021-02-12,ADANIENT.NS,657.0,724.45,655.2,718.95,16810897
2021-02-15,ADANIENT.NS,725.0,787.95,707.65,763.45,21579566
2021-02-16,ADANIENT.NS,760.0,802.95,756.25,780.2,19426061
2021-02-17,ADANIENT.NS,787.15,802.0,782.25,785.45,8908279
2021-02-18,ADANIENT.NS,787.25,824.5,786.0,808.2,9694238
2021-02-19,ADANIENT.NS,813.0,831.0,729.5,781.9,20210882
2021-02-22,ADANIENT.NS,786.0,813.0,780.55,805.9,10890564
2021-02-23,ADANIENT.NS,814.8,827.3,789.0,799.65,9753081
2021-02-24,ADANIENT.NS,806.0,812.05,795.45,805.2,4626257
2021-02-25,ADANIENT.NS,814.0,862.4,809.0,843.5,12118095
2021-02-26,ADANIENT.NS,833.9,861.0,819.85,833.65,11355426
2021-03-01,ADANIENT.NS,840.75,860.95,836.45,851.5,5996840
2021-03-02,ADANIENT.NS,857.4,876.5,852.25,872.55,5116413
2021-03-03,ADANIENT.NS,880.45,944.9,872.85,915.35,11670544
2021-03-04,ADANIENT.NS,910.0,938.7,905.4,918.4,8141787
2021-03-05,ADANIENT.NS,918.0,934.0,888.3,909.9,7109101
2021-03-08,ADANIENT.NS,918.1,926.4,905.1,910.2,3904469
2021-03-09,ADANIENT.NS,918.0,928.4,893.6,905.2,5561849
2021-03-10,ADANIENT.NS,911.0,914.1,888.7,898.15,5465016
2021-03-12,ADANIENT.NS,905.0,923.8,889.3,894.1,6049852
2021-03-15,ADANIENT.NS,898.75,904.0,874.5,896.2,5234540
2021-03-16,ADANIENT.NS,900.7,904.4,888.05,897.8,2555026
2021-03-17,ADANIENT.NS,898.0,905.4,865.0,873.9,3886557
2021-03-18,ADANIENT.NS,876.0,891.0,857.75,871.05,4465851
2021-03-19,ADANIENT.NS,866.0,895.4,840.2,889.65,4794995
2021-03-22,ADANIENT.NS,892.9,1003.0,883.45,991.05,22596465
2021-03-23,ADANIENT.NS,999.0,1086.7,991.05,1058.4,31098225
2021-03-24,ADANIENT.NS,1063.0,1093.0,1018.4,1025.45,22877032
2021-03-25,ADANIENT.NS,1032.95,1041.45,977.0,981.55,13139164
2021-03-26,ADANIENT.NS,1000.0,1018.45,978.0,988.3,9396506
2021-03-30,ADANIENT.NS,1004.0,1042.45,988.0,1031.55,10470011
2021-03-31,ADANIENT.NS,1038.0,1053.15,1016.6,1031.15,6440569
2021-04-01,ADANIENT.NS,1043.4,1116.05,1035.0,1107.2,12713083
2021-04-05,ADANIENT.NS,1127.0,1150.0,1098.85,1138.25,15795720
2021-04-06,ADANIENT.NS,1153.4,1241.0,1142.5,1225.4,21496457
2021-04-07,ADANIENT.NS,1233.4,1251.6,1108.0,1165.55,23007694
2021-04-08,ADANIENT.NS,1162.5,1191.0,1137.75,1162.5,12404773
2021-04-09,ADANIENT.NS,1163.4,1228.0,1151.2,1201.4,12923020
2021-01-11,ADANIPORTS.NS,520.45,522.5,504.0,508.35,7156036
2021-01-12,ADANIPORTS.NS,507.0,520.65,502.55,511.25,6751375
2021-01-13,ADANIPORTS.NS,515.9,540.0,514.6,536.65,11045555
2021-01-14,ADANIPORTS.NS,537.95,542.45,530.1,536.95,6066782
2021-01-15,ADANIPORTS.NS,536.8,541.0,524.0,527.95,5427713
2021-01-18,ADANIPORTS.NS,531.0,532.3,503.8,515.5,6258367
2021-01-19,ADANIPORTS.NS,516.0,535.0,516.0,532.8,6694907
2021-01-20,ADANIPORTS.NS,529.0,562.5,529.0,558.6,14440729
2021-01-21,ADANIPORTS.NS,561.85,561.85,542.65,547.65,8870257
2021-01-22,ADANIPORTS.NS,549.5,557.5,531.7,535.8,6843849
2021-01-25,ADANIPORTS.NS,543.0,547.45,522.0,523.65,5816153
2021-01-27,ADANIPORTS.NS,528.25,536.0,512.5,518.85,8920054
2021-01-28,ADANIPORTS.NS,515.7,527.95,507.05,519.1,5707393
2021-01-29,ADANIPORTS.NS,527.55,533.1,507.1,509.7,6781488
2021-02-01,ADANIPORTS.NS,514.3,545.45,500.1,542.75,10259084
2021-02-02,ADANIPORTS.NS,548.7,554.85,540.0,550.8,7160471
2021-02-03,ADANIPORTS.NS,549.55,562.3,542.0,560.1,7462289
2021-02-04,ADANIPORTS.NS,557.9,573.4,554.05,568.4,6850462
2021-02-05,ADANIPORTS.NS,571.0,573.95,561.65,566.95,5586868
