,tikr,entrydate,exitdate,change1,change0,totalchange,changediff,entry,exit,pnl
23,BERGEPAINT.NS,2021-04-08,2021-04-09,0.0139,0.00468,0.02092,0.00922,762.45,768.9,1196.59
26,BHEL.NS,2021-04-08,2021-04-09,0.032,0.01317,0.05231,0.01883,51.6,51.9,798.06
29,BPCL.NS,2021-04-08,2021-04-09,0.00549,0.00023,0.00584,0.00526,430.55,430.0,-264.38
66,HINDPETRO.NS,2021-04-08,2021-04-09,0.01144,0.00276,0.01484,0.00868,238.75,238.65,-135.79
83,JSWSTEEL.NS,2021-04-08,2021-04-09,0.09212,0.04624,0.17691,0.04588,614.1,618.0,877.57
96,MCDOWELL-N.NS,2021-04-08,2021-04-09,0.00552,0.00453,0.01227,0.00099,546.45,553.5,1857.64
97,MARICO.NS,2021-04-08,2021-04-09,0.0163,0.01241,0.03008,0.00389,414.65,417.0,776.66
98,MARICO.NS,2021-04-08,2021-04-09,0.0163,0.01241,0.03008,0.00389,414.65,417.0,776.66
113,NAM-INDIA.NS,2021-04-08,2021-04-09,0.0517,0.00979,0.06626,0.04191,358.05,360.95,1141.05
