,Datetime,tikr,open,high,low,close,volume,new_date,new_time
0,2021-04-13 09:15:00+05:30,ACC.NS,1885.0,1900.75,1880.05,1900.0,0,2021-04-13,09:15:00
1,2021-04-13 09:16:00+05:30,ACC.NS,1899.2,1900.0,1890.6,1893.25,5998,2021-04-13,09:16:00
2,2021-04-13 09:17:00+05:30,ACC.NS,1894.65,1899.0,1893.1,1899.0,5005,2021-04-13,09:17:00
3,2021-04-13 09:18:00+05:30,ACC.NS,1897.4,1898.5,1890.7,1891.1,6322,2021-04-13,09:18:00
4,2021-04-13 09:19:00+05:30,ACC.NS,1889.7,1892.55,1887.45,1890.5,2890,2021-04-13,09:19:00
5,2021-04-13 09:20:00+05:30,ACC.NS,1889.1,1889.1,1883.55,1886.55,4203,2021-04-13,09:20:00
6,2021-04-13 09:21:00+05:30,ACC.NS,1886.65,1897.95,1886.65,1897.95,3456,2021-04-13,09:21:00
7,2021-04-13 09:22:00+05:30,ACC.NS,1898.0,1899.85,1897.25,1899.3,2691,2021-04-13,09:22:00
8,2021-04-13 09:23:00+05:30,ACC.NS,1900.0,1900.0,1898.0,1898.0,1638,2021-04-13,09:23:00
9,2021-04-13 09:24:00+05:30,ACC.NS,1898.6,1900.0,1897.0,1897.6,6538,2021-04-13,09:24:00
10,2021-04-13 09:25:00+05:30,ACC.NS,1897.4,1901.35,1894.7,1901.35,2937,2021-04-13,09:25:00
11,2021-04-13 09:26:00+05:30,ACC.NS,1900.0,1900.0,1898.15,1899.0,3120,2021-04-13,09:26:00
12,2021-04-13 09:27:00+05:30,ACC.NS,1899.4,1901.35,1899.1,1899.85,2209,2021-04-13,09:27:00
13,2021-04-13 09:28:00+05:30,ACC.NS,1900.0,1900.0,1899.4,1900.0,719,2021-04-13,09:28:00
14,2021-04-13 09:29:00+05:30,ACC.NS,1900.05,1901.65,1900.0,1900.4,4249,2021-04-13,09:29:00
15,2021-04-13 09:30:00+05:30,ACC.NS,1900.4,1900.4,1897.85,1897.85,5787,2021-04-13,09:30:00
16,2021-04-13 09:31:00+05:30,ACC.NS,1897.7,1898.5,1893.45,1893.45,2979,2021-04-13,09:31:00
17,2021-04-13 09:32:00+05:30,ACC.NS,1893.45,1898.5,1893.45,1897.45,1402,2021-04-13,09:32:00
18,2021-04-13 09:33:00+05:30,ACC.NS,1896.85,1899.85,1893.9,1899.8,2501,2021-04-13,09:33:00
19,2021-04-13 09:34:00+05:30,ACC.NS,1899.1,1902.0,1898.75,1902.0,3009,2021-04-13,09:34:00
20,2021-04-13 09:35:00+05:30,ACC.NS,1900.1,1900.1,1897.0,1898.0,2254,2021-04-13,09:35:00
21,2021-04-13 09:36:00+05:30,ACC.NS,1899.65,1900.0,1899.65,1900.0,783,2021-04-13,09:36:00
22,2021-04-13 09:37:00+05:30,ACC.NS,1900.0,1900.0,1899.55,1900.0,1768,2021-04-13,09:37:00
23,2021-04-13 09:38:00+05:30,ACC.NS,1898.25,1900.0,1898.25,1899.5,1297,2021-04-13,09:38:00
24,2021-04-13 09:39:00+05:30,ACC.NS,1900.0,1900.0,1897.7,1898.0,1306,2021-04-13,09:39:00
25,2021-04-13 09:40:00+05:30,ACC.NS,1898.5,1898.5,1895.05,1895.05,3266,2021-04-13,09:40:00
26,2021-04-13 09:41:00+05:30,ACC.NS,1895.05,1896.0,1893.0,1893.0,1564,2021-04-13,09:41:00
27,2021-04-13 09:42:00+05:30,ACC.NS,1893.85,1894.4,1893.0,1894.4,674,2021-04-13,09:42:00
28,2021-04-13 09:43:00+05:30,ACC.NS,1894.4,1896.45,1893.85,1896.0,1224,2021-04-13,09:43:00
29,2021-04-13 09:44:00+05:30,ACC.NS,1895.95,1896.25,1895.15,1896.1,1226,2021-04-13,09:44:00
30,2021-04-13 09:45:00+05:30,ACC.NS,1895.6,1898.8,1895.0,1898.45,1214,2021-04-13,09:45:00
31,2021-04-13 09:46:00+05:30,ACC.NS,1898.45,1899.3,1897.9,1898.85,787,2021-04-13,09:46:00
32,2021-04-13 09:47:00+05:30,ACC.NS,1897.95,1898.85,1897.95,1898.8,82,2021-04-13,09:47:00
33,2021-04-13 09:48:00+05:30,ACC.NS,1895.8,1896.85,1895.55,1896.7,1748,2021-04-13,09:48:00
34,2021-04-13 09:49:00+05:30,ACC.NS,1897.7,1898.8,1896.75,1896.75,963,2021-04-13,09:49:00
35,2021-04-13 09:50:00+05:30,ACC.NS,1897.7,1898.35,1897.7,1898.35,228,2021-04-13,09:50:00
36,2021-04-13 09:51:00+05:30,ACC.NS,1898.8,1900.0,1898.8,1899.8,3457,2021-04-13,09:51:00
37,2021-04-13 09:52:00+05:30,ACC.NS,1899.05,1900.0,1898.25,1898.25,6658,2021-04-13,09:52:00
38,2021-04-13 09:53:00+05:30,ACC.NS,1898.1,1900.0,1898.1,1899.85,404,2021-04-13,09:53:00
39,2021-04-13 09:54:00+05:30,ACC.NS,1900.0,1900.0,1899.1,1900.0,517,2021-04-13,09:54:00
40,2021-04-13 09:55:00+05:30,ACC.NS,1899.85,1899.85,1897.8,1897.8,1849,2021-04-13,09:55:00
41,2021-04-13 09:56:00+05:30,ACC.NS,1896.35,1896.85,1896.0,1896.8,857,2021-04-13,09:56:00
42,2021-04-13 09:57:00+05:30,ACC.NS,1896.8,1897.95,1896.0,1897.95,1272,2021-04-13,09:57:00
43,2021-04-13 09:58:00+05:30,ACC.NS,1897.9,1898.95,1897.0,1898.95,1989,2021-04-13,09:58:00
44,2021-04-13 09:59:00+05:30,ACC.NS,1900.0,1900.0,1899.7,1899.9,2691,2021-04-13,09:59:00
45,2021-04-13 10:00:00+05:30,ACC.NS,1900.0,1901.15,1899.0,1901.15,4884,2021-04-13,10:00:00
46,2021-04-13 10:01:00+05:30,ACC.NS,1900.0,1900.0,1896.45,1896.65,3581,2021-04-13,10:01:00
47,2021-04-13 10:02:00+05:30,ACC.NS,1896.5,1899.6,1896.35,1899.0,370,2021-04-13,10:02:00
48,2021-04-13 10:03:00+05:30,ACC.NS,1896.6,1897.6,1896.6,1897.6,1674,2021-04-13,10:03:00
49,2021-04-13 10:04:00+05:30,ACC.NS,1897.6,1897.85,1895.0,1897.05,2712,2021-04-13,10:04:00
50,2021-04-13 10:05:00+05:30,ACC.NS,1896.75,1897.0,1895.0,1895.7,2111,2021-04-13,10:05:00
51,2021-04-13 10:06:00+05:30,ACC.NS,1895.0,1897.1,1895.0,1897.1,723,2021-04-13,10:06:00
52,2021-04-13 10:07:00+05:30,ACC.NS,1897.1,1899.85,1897.1,1899.1,1647,2021-04-13,10:07:00
53,2021-04-13 10:08:00+05:30,ACC.NS,1899.8,1900.0,1899.0,1899.8,5843,2021-04-13,10:08:00
54,2021-04-13 10:09:00+05:30,ACC.NS,1899.95,1900.0,1898.95,1899.6,365,2021-04-13,10:09:00
55,2021-04-13 10:10:00+05:30,ACC.NS,1899.45,1900.0,1899.0,1899.2,879,2021-04-13,10:10:00
56,2021-04-13 10:11:00+05:30,ACC.NS,1899.85,1900.0,1899.0,1899.0,317,2021-04-13,10:11:00
57,2021-04-13 10:12:00+05:30,ACC.NS,1899.2,1900.0,1899.2,1899.55,4079,2021-04-13,10:12:00
58,2021-04-13 10:13:00+05:30,ACC.NS,1899.0,1899.55,1899.0,1899.55,273,2021-04-13,10:13:00
59,2021-04-13 10:14:00+05:30,ACC.NS,1899.2,1900.0,1899.2,1900.0,834,2021-04-13,10:14:00
60,2021-04-13 10:15:00+05:30,ACC.NS,1899.2,1900.0,1899.2,1899.95,1222,2021-04-13,10:15:00
61,2021-04-13 10:16:00+05:30,ACC.NS,1899.95,1899.95,1896.15,1896.15,2077,2021-04-13,10:16:00
62,2021-04-13 10:17:00+05:30,ACC.NS,1896.0,1897.55,1895.3,1897.55,912,2021-04-13,10:17:00
63,2021-04-13 10:18:00+05:30,ACC.NS,1896.4,1896.4,1895.1,1895.95,764,2021-04-13,10:18:00
64,2021-04-13 10:19:00+05:30,ACC.NS,1895.9,1895.9,1893.0,1893.0,3461,2021-04-13,10:19:00
65,2021-04-13 10:20:00+05:30,ACC.NS,1893.0,1894.65,1891.75,1894.5,1614,2021-04-13,10:20:00
66,2021-04-13 10:21:00+05:30,ACC.NS,1894.4,1894.95,1893.0,1893.35,1551,2021-04-13,10:21:00
67,2021-04-13 10:22:00+05:30,ACC.NS,1893.05,1894.4,1892.35,1893.9,722,2021-04-13,10:22:00
68,2021-04-13 10:23:00+05:30,ACC.NS,1894.7,1895.5,1894.0,1895.0,441,2021-04-13,10:23:00
